NELE,lon,lat,Area_m2
273,-83.2119042,41.93568115,2223554.2
274,-83.2042925,41.92880238,2005872.6
275,-83.19555233,41.93153268,2059454.5
276,-83.18835957,41.92442037,2150777.9
277,-83.17948327,41.92767072,2055929.8
278,-83.1704823,41.92390592,2002873.9
279,-83.16887813,41.91669046,2023158.4
280,-83.1582565,41.91410667,1901644.7
281,-83.14964043,41.9188176,2219944.4
282,-83.13976377,41.91389039,2338442.3
283,-83.1308641,41.91749522,2078893.1
284,-83.1201269,41.9128232,2140619.3
285,-83.11790433,41.90458094,2467047
286,-83.1046723,41.90243919,2586138.9
287,-83.09979613,41.89489638,2888851.8
288,-83.08493163,41.89435064,2541718.3
289,-83.07559717,41.90122611,2561844.9
290,-83.06096287,41.90075775,2517612.3
291,-83.0504115,41.90708591,2472446.3
292,-83.0348011,41.90595182,2711845.3
293,-83.0317545,41.89904076,2397871
294,-83.0194418,41.89430595,2674113.5
295,-83.00891823,41.89588764,2501375.8
296,-83.0041385,41.90452012,2697745
297,-82.99096403,41.90105531,2502157.9
298,-82.9820211,41.90435755,2834724
299,-82.98261827,41.91438097,2949925.6
300,-82.97063983,41.916737,2703486.5
301,-82.9678487,41.92605684,2697182.3
302,-82.95450757,41.92824685,2828674.4
303,-82.9510973,41.9375326,2755990.7
304,-82.93876907,41.94030848,2814681.8
305,-82.93648757,41.94987904,2796830
306,-82.92468597,41.95282887,2512197
307,-82.91984973,41.96210497,2666893.9
308,-82.9059412,41.96172685,2684506.6
309,-82.89681043,41.96771639,3184505.7
310,-82.89926757,41.97728291,3121961.6
311,-82.8873803,41.98376894,2990529.8
312,-83.27062403,41.93462558,2377779.7
313,-83.26252773,41.92966198,1790072.2
314,-83.25149943,41.9330499,1795976.2
315,-83.24543127,41.92692168,1918301.1
316,-83.23638343,41.92752285,1756295.6
317,-83.2312323,41.92021757,1819889.1
318,-83.2217663,41.92249124,1707287.6
319,-83.21537077,41.9162629,2101926.2
320,-83.2063619,41.91892403,1993177.3
321,-83.1997794,41.91163499,2056097.1
322,-83.19051723,41.91440103,2289593.3
323,-83.18383507,41.90686124,2250412.6
324,-83.17484417,41.90871248,2033888.4
325,-83.16762183,41.90165483,1909092.2
326,-83.15807047,41.90521011,1933276.9
327,-83.14918383,41.9004041,2269374.4
328,-83.1394932,41.90437339,2137807
329,-83.12837097,41.89973588,2527783.1
330,-83.128405,41.89134097,2495954.6
331,-83.11893977,41.88653437,2277325.1
332,-83.1067207,41.88794919,2415091.9
333,-83.10017377,41.87919282,2473920
334,-83.08810247,41.87872211,2897320.1
335,-83.0797849,41.88693275,2518746.7
336,-83.06609393,41.88678201,2501378.7
337,-83.05660637,41.89373151,2458671.8
338,-83.0430084,41.89314867,2233295.6
339,-83.03858313,41.88628924,2197525.1
340,-83.0242801,41.88607487,2326537.7
341,-83.0197275,41.87948477,2291080.3
342,-83.00774827,41.87596552,2367288.1
343,-82.99789327,41.87875716,2653777.4
344,-82.99834717,41.88806599,2532508.7
345,-82.98822183,41.89070752,2316693.8
346,-82.97731553,41.88381617,2586254.5
347,-82.9676588,41.8867004,2612682.7
348,-82.96962217,41.89689406,2556800.3
349,-82.95986023,41.89980906,2687816.4
350,-82.96028073,41.90962851,2643303.2
351,-82.94879417,41.91253195,2713085.8
352,-82.94581213,41.92183035,2630006.4
353,-82.9313748,41.92458082,3010060.2
354,-82.927742,41.9337732,3030626.9
355,-82.91514757,41.93771002,3027284.6
356,-82.91437303,41.94719499,2509050.9
357,-82.9030139,41.95217934,2571718.4
358,-82.89176167,41.94830459,2907041.3
359,-82.88044613,41.95429974,2950221.5
360,-82.8825676,41.964164,2878015.3
361,-82.87267327,41.97036786,3049158.8
362,-82.87502883,41.98040629,3047141.9
363,-82.86385953,41.98713933,3073589.3
364,-83.28185017,41.93107981,2503034.2
365,-83.28225473,41.92042482,2835507.7
366,-83.27107773,41.91579375,2595753.2
367,-83.26257687,41.92148528,1944276.3
368,-83.29033943,41.93669081,2412560.4
369,-83.2519475,41.91942818,1732897.6
370,-83.24739347,41.91253572,2125842.9
371,-83.2357261,41.91272389,1923334.1
372,-83.22974837,41.90591939,2137752
373,-83.21885903,41.90718463,1936937.1
374,-83.2128698,41.90026442,2162825.5
375,-83.20279903,41.90205353,2007143.9
376,-83.1966625,41.89483268,2163164.3
377,-83.1869607,41.89687425,2038557.6
378,-83.17964327,41.89016689,2178982.3
379,-83.1692953,41.89309633,2150628.2
380,-83.16055563,41.88755213,2183498.2
381,-83.14999553,41.89130468,2203033.4
382,-83.14033893,41.88687904,2224589.2
383,-83.14115083,41.87859589,2148911.1
384,-83.1310529,41.87414244,2317725.7
385,-83.12077577,41.87761889,2052734.2
386,-83.1093639,41.87312407,2446500.7
387,-83.10907743,41.86518052,2543465.9
388,-83.0981476,41.85879755,3133363.4
389,-83.086424,41.86098506,3026386.4
390,-83.08196997,41.8708571,2755737.2
391,-83.068611,41.87194036,2526848.5
392,-83.06105253,41.87965449,2418206.7
393,-83.0471397,41.87974462,2446228.9
394,-83.04189207,41.87275025,2429608.5
395,-83.0287829,41.87270479,2144955.2
396,-83.02333457,41.86598259,2166470.1
397,-83.01018737,41.86711884,2096882.8
398,-83.0035642,41.86109902,2435289.4
399,-82.99014047,41.86270216,2496306.2
400,-82.98690863,41.87151378,2438906.9
401,-82.97645623,41.87393125,2515332.8
402,-82.9653696,41.86675616,2732352.9
403,-82.95475377,41.86968342,2661021
404,-82.95618367,41.87974273,2538104.7
405,-82.94632873,41.88311287,2626853.7
406,-82.94804193,41.89298549,2581263.9
407,-82.937978,41.89642536,2662200
408,-82.93830973,41.9061523,2674534.3
409,-82.92746,41.90926072,2342647.8
410,-82.9235071,41.9183908,2577738.2
411,-82.90998067,41.9177479,2588166.1
412,-82.90107657,41.92320711,3040066.7
413,-82.90320667,41.932771,3075592.4
414,-82.8911799,41.93838135,2889310
415,-82.8792418,41.93431722,2877937.4
416,-82.86793377,41.94039684,2944862.2
417,-82.86855633,41.9504561,2922467.4
418,-82.85726787,41.95697379,2994780.6
419,-82.85926333,41.96702123,2992460.9
420,-82.84928993,41.9736577,3053065
421,-82.85153057,41.98373739,3040815.9
422,-82.84037587,41.99058759,3048372.5
423,-83.30277,41.9343621,2644582.7
424,-83.304716,41.92499039,3149096
425,-83.29269,41.91666382,3067039.5
426,-83.2925749,41.90630719,3149126.4
427,-83.28259647,41.8981499,2630879.2
428,-83.27147427,41.89905365,2859897.8
429,-83.26650537,41.90686632,2505774
430,-83.25345047,41.90566544,2205461
431,-83.24714137,41.89832563,2194502.1
432,-83.23510663,41.8983914,2095451.9
433,-83.22895753,41.89121213,2206565.8
434,-83.21761003,41.89181983,2057291.8
435,-83.21154543,41.88470805,2180297.6
436,-83.20066867,41.88593172,2050013.4
437,-83.19349437,41.87940578,2184547.9
438,-83.18217077,41.88159938,2092351.7
439,-83.1737544,41.87549711,2292845.1
440,-83.16248723,41.87852045,2372358.7
441,-83.15273903,41.87398978,2377672.2
442,-83.15317173,41.86622094,2060263.7
443,-83.14303587,41.86173334,2020942.4
444,-83.13250523,41.86504864,2477607.6
445,-83.12194163,41.86058148,2533300.3
446,-83.12244,41.85282563,2141726.2
447,-83.11275753,41.8485009,1918962.3
448,-83.10132933,41.8498734,2336050.6
449,-83.0957985,41.84097917,2464115
450,-83.08576917,41.83806429,2804457.3
451,-83.07690203,41.84335173,2413163.7
452,-83.07680993,41.85323534,2824054.8
453,-83.0659145,41.8557785,2411667.1
454,-83.0621696,41.86461131,2461854.2
455,-83.0493635,41.86533114,2416067
456,-83.04278033,41.85805785,2378920
457,-83.02986057,41.85875486,2423962.6
458,-83.0230515,41.85185274,2365804.4
459,-83.00990233,41.85306068,2411823.3
460,-83.0029904,41.84660051,2382096.9
461,-82.98966493,41.84835802,2410193.4
462,-82.98315313,41.8564213,2369570.9
463,-82.96883467,41.85805773,2660429.8
464,-82.96270063,41.85184242,2236741.4
465,-82.94944717,41.8497729,2527041
466,-82.94028603,41.8538102,2703602.3
467,-82.94301817,41.8634883,2746451
468,-82.93282703,41.86746646,2543314.6
469,-82.9347077,41.87703166,2529697.4
470,-82.92452813,41.88096843,2622398.1
471,-82.92608523,41.89048945,2580339.8
472,-82.9156607,41.89460923,2715532.6
473,-82.91670373,41.90365345,2394308.4
474,-82.9063525,41.90827235,2433625
475,-82.8948106,41.90409427,2726733.3
